title,author_first,author_last,classify_ISBN,classify_DDC,pages,publish_date,country,tags,date_added,user
cubilia curae,Cloe,Seman,934867131-6,98.415,1010,1987,France,"[""massa"",""augue"",""eu"",""commodo placerat"",""placerat"",""nulla nisl"",""at velit"",""vestibulum ante"",""ac"",""convallis nulla""]",08/15/2020,Cloe Seman
convallis eget eleifend luctus ultricies eu,Koral,Mazzeo,352552916-3,408.068,1995,2003,Azerbaijan,"[""vestibulum ante"",""nam congue"",""rutrum"",""nam nulla"",""eget massa"",""nec sem"",""semper sapien"",""sem"",""non"",""nunc rhoncus""]",03/25/2021,Koral Mazzeo
suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet,Cynthy,Smouten,640420494-0,740.291,1865,2010,Japan,"[""neque"",""ultrices posuere"",""posuere cubilia"",""nibh in"",""vivamus in"",""non sodales"",""odio justo"",""gravida"",""sit"",""eleifend pede""]",11/24/2020,Cynthy Smouten
nam ultrices,Hebert,Ebenezer,806781612-3,21.595,461,2004,China,"[""vestibulum vestibulum"",""scelerisque quam"",""molestie nibh"",""faucibus orci"",""pulvinar sed"",""mattis"",""natoque penatibus"",""curabitur"",""bibendum"",""nulla ac""]",05/06/2021,Hebert Ebenezer
nisi eu orci mauris lacinia sapien quis libero nullam sit amet,Kriste,Cherry Holme,614210744-7,804.805,513,2010,Indonesia,"[""aliquam"",""mauris"",""curabitur"",""consequat"",""faucibus"",""massa"",""at"",""enim"",""posuere cubilia"",""amet turpis""]",05/29/2021,Kriste Cherry Holme
non quam nec dui,Helen-elizabeth,Levey,322070794-7,110.302,1984,1993,Poland,"[""molestie"",""non ligula"",""velit eu"",""faucibus"",""ut"",""in felis"",""libero"",""eget"",""accumsan"",""placerat ante""]",02/11/2021,Helen-elizabeth Levey
luctus et ultrices,Emera,Szymanski,419065044-7,434.741,1961,2004,China,"[""varius"",""sem"",""tellus nisi"",""nulla"",""amet justo"",""augue a"",""in"",""ligula vehicula"",""non"",""lacinia sapien""]",10/21/2020,Emera Szymanski
ultrices libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,Wallache,Sculpher,560200363-0,956.223,1075,1998,Poland,"[""cubilia curae"",""eleifend donec"",""eu"",""erat fermentum"",""nec nisi"",""fusce"",""neque"",""venenatis"",""non"",""nisi eu""]",09/25/2020,Wallache Sculpher
lobortis convallis tortor risus,Ciro,Avrahamoff,213989270-4,105.12,1102,2012,Thailand,"[""ligula"",""lacus curabitur"",""tempus"",""lacus"",""elementum ligula"",""integer ac"",""dolor morbi"",""at nunc"",""malesuada in"",""lacinia""]",08/23/2020,Ciro Avrahamoff
ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio,Desirae,Mobberley,852192128-4,170.775,503,2006,Argentina,"[""amet consectetuer"",""vestibulum aliquet"",""et ultrices"",""enim leo"",""praesent blandit"",""amet sem"",""duis at"",""sed vestibulum"",""lacinia nisi"",""volutpat erat""]",03/15/2021,Desirae Mobberley
massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst morbi vestibulum velit,Berri,Renad,050912234-5,862.848,1726,1992,Luxembourg,"[""orci pede"",""quam sapien"",""porttitor"",""blandit"",""dolor sit"",""dui"",""eros"",""ligula"",""diam"",""phasellus in""]",09/04/2020,Berri Renad
orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,Terza,Stothert,058974098-9,374.01,717,2010,Dominican Republic,"[""iaculis"",""natoque penatibus"",""ultrices posuere"",""morbi ut"",""lacinia aenean"",""justo morbi"",""interdum mauris"",""duis"",""diam"",""sociis""]",11/04/2020,Terza Stothert
nisl nunc nisl duis bibendum felis,Pavel,Kempson,894146206-1,480.881,348,1992,Australia,"[""id"",""vehicula condimentum"",""augue"",""integer pede"",""arcu"",""in hac"",""ornare consequat"",""nonummy integer"",""vestibulum"",""odio condimentum""]",11/19/2020,Pavel Kempson
